Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Burkina Faso,Africa,14183,67.85,131,0.63,52,181,0.87,9,0.04,1
Guam,Western Pacific,12560,7441.86,329,194.93,0,184,109.02,5,2.96,0
Djibouti,Eastern Mediterranean,12253,1240.18,213,21.56,0,162,16.4,3,0.3,0
South Sudan,Africa,11948,106.74,134,1.2,12,128,1.14,7,0.06,0
Equatorial Guinea,Africa,11806,841.49,743,52.96,0,142,10.12,5,0.36,0
Iceland,Europe,11722,3219.14,251,68.93,90,33,9.06,0,0,0
Central African Republic,Africa,11371,235.44,31,0.64,0,100,2.07,0,0,0
Saint Lucia,Americas,11144,6068.82,624,339.82,91,185,100.75,35,19.06,2
Nicaragua,Americas,10757,162.38,512,7.73,0,203,3.06,1,0.02,0
Gambia,Africa,9930,410.9,42,1.74,5,335,13.86,3,0.12,0
Jersey,Europe,9912,9195.15,123,114.1,0,78,72.36,0,0,0
Yemen,Eastern Mediterranean,8934,29.95,267,0.9,43,1694,5.68,51,0.17,12
Barbados,Americas,7576,2636.28,1123,390.78,175,63,21.92,5,1.74,0
Isle of Man,Europe,7429,8736.71,263,309.3,64,51,59.98,1,1.18,0
Eritrea,Africa,6694,188.75,23,0.65,0,42,1.18,2,0.06,0
United States Virgin Islands,Americas,6620,6339.48,162,155.14,0,69,66.08,2,1.92,0
Brunei Darussalam,Western Pacific,6540,1494.93,1493,341.27,254,29,6.63,7,1.6,0
Sierra Leone,Africa,6388,80.08,0,0,0,121,1.52,0,0,0
New Caledonia,Western Pacific,6185,2166.39,2654,929.6,0,83,29.07,61,21.37,0
Guinea-Bissau,Africa,6103,310.11,23,1.17,4,135,6.86,5,0.25,0
Niger,Africa,5980,24.7,29,0.12,6,201,0.83,0,0,0
Liberia,Africa,5794,114.56,-121,-2.39,2,283,5.6,0,0,0
Gibraltar,Europe,5517,16375.29,38,112.79,15,97,287.91,0,0,0
San Marino,Europe,5428,15993.87,9,26.52,1,91,268.14,1,2.95,1
Chad,Africa,5034,30.65,3,0.02,1,174,1.06,0,0,0
Bermuda,Americas,4891,7854.13,673,1080.73,0,50,80.29,12,19.27,0
Grenada,Americas,4638,4121.82,797,708.3,0,98,87.09,48,42.66,0
Sint Maarten,Americas,4178,9743.02,125,291.5,0,61,142.25,2,4.66,0
Comoros,Africa,4112,472.86,6,0.69,0,147,16.9,0,0,0
New Zealand,Western Pacific,3838,79.59,114,2.36,12,27,0.56,0,0,0
Saint Martin,Americas,3740,9674.33,0,0,0,35,90.54,0,0,0
Liechtenstein,Europe,3555,9174.9,26,67.1,1,58,149.69,0,0,0
Sao Tome and Principe,Africa,3344,1525.83,301,137.34,6,49,22.36,6,2.74,0
Monaco,Europe,3303,8416.57,13,33.13,0,35,89.19,0,0,0
Dominica,Americas,3197,4440.83,305,423.66,0,13,18.06,4,5.56,0
Saint Vincent and the Grenadines,Americas,3158,2846.58,367,330.81,0,17,15.32,3,2.7,0
Turks and Caicos Islands,Americas,2824,7293.77,19,49.07,0,22,56.82,0,0,0
Antigua and Barbuda,Americas,2815,2874.53,212,216.48,0,63,64.33,8,8.17,0
British Virgin Islands,Americas,2676,8850.08,34,112.45,0,37,122.37,0,0,0
Bhutan,South-East Asia,2599,336.83,2,0.26,0,3,0.39,0,0,0
Bonaire,Americas,1963,9385.61,42,200.81,0,18,86.06,1,4.78,0
Saint Kitts and Nevis,Americas,1872,3519.33,198,372.24,37,10,18.8,0,0,0
Saint Barthélemy,Americas,1624,16428.93,0,0,0,2,20.23,0,0,0
Guernsey,Europe,1579,2449.28,78,120.99,25,21,32.57,0,0,0
Faroe Islands,Europe,1127,2306.35,57,116.65,12,2,4.09,0,0,0
Cayman Islands,Americas,791,1203.59,17,25.87,0,2,3.04,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Greenland,Europe,565,995.21,101,177.9,12,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Anguilla,Americas,364,2426.34,33,219.97,0,1,6.67,1,6.67,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,266,462.15,3,5.21,0,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,67,1923.63,3,86.13,0,0,0,0,0,0
Montserrat,Americas,33,660.13,0,0,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,1,31.86,1,31.86,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,1,1.81,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
